id,IATA,ICAO,Airline,Callsign,wikimedia_logo_url
3,,GNL,135 Airways,GENERAL,https://www.flightaware.com/images/airline_logos/180px/GNL.png
4,2T,TBS,Timbis Air,TIMBIS,https://www.flightaware.com/images/airline_logos/180px/TBS.png
5,,TWF,247 Jet Ltd,CLOUD RUNNER,https://www.flightaware.com/images/airline_logos/180px/TWF.png
6,,SEC,3D Aviation,SECUREX,https://www.flightaware.com/images/airline_logos/180px/SEC.png
7,Q5,MLA,40-Mile Air,MILE-AIR,https://www.flightaware.com/images/airline_logos/180px/MLA.png
8,,PIU,43 Air School,PRIMA,https://www.flightaware.com/images/airline_logos/180px/PIU.png
9,4R,SEK,Star East Airline [de; fa; it; pl],EAST RIDER,https://www.flightaware.com/images/airline_logos/180px/SEK.png
10,5W,WAZ,Wizz Air Abu Dhabi,WIZZ SKY,https://www.flightaware.com/images/airline_logos/180px/WAZ.png
11,AQ,JYH,9 Air,TRANS JADE,https://www.flightaware.com/images/airline_logos/180px/JYH.png
12,,BRO,2Excel Aviation,BROADSWORD,https://www.flightaware.com/images/airline_logos/180px/BRO.png
13,,GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,https://www.flightaware.com/images/airline_logos/180px/GBT.png
14,,AJR,A-Jet Aviation Company,JET MONGOLIA,https://www.flightaware.com/images/airline_logos/180px/AJR.png
15,,SFM,A-Safar Air Services,AIR SAFAR,https://www.flightaware.com/images/airline_logos/180px/SFM.png
16,,AJJ,A2 Jet Leasing,ATLANTIC JET,https://www.flightaware.com/images/airline_logos/180px/AJJ.png
17,,XXV,AASANA,,https://www.flightaware.com/images/airline_logos/180px/XXV.png
18,,BBE,Ababeel Aviation,BABEL AIR,https://www.flightaware.com/images/airline_logos/180px/BBE.png
19,,NKP,Abakan Air,ABAKAN AIR,https://www.flightaware.com/images/airline_logos/180px/NKP.png
20,RL,ABG,Abakan-Avia,ROYAL FLIGHT,https://www.flightaware.com/images/airline_logos/180px/ABG.png
21,,ABE,Aban Air,ABAN,https://www.flightaware.com/images/airline_logos/180px/ABE.png
22,,MRP,Abas,ABAS,https://www.flightaware.com/images/airline_logos/180px/MRP.png
23,,FTY,ABC Bedarfsflug,FLY TYROL,https://www.flightaware.com/images/airline_logos/180px/FTY.png
24,,BDV,Aberdair Aviation,ABERDAV,https://www.flightaware.com/images/airline_logos/180px/BDV.png
25,,ROH,Aberdair Aviation Ghana,,https://www.flightaware.com/images/airline_logos/180px/ROH.png
26,,ABP,ABS Jets,BAIR,https://www.flightaware.com/images/airline_logos/180px/ABP.png
27,M3,TUS,ABSA Cargo,Turismo,https://www.flightaware.com/images/airline_logos/180px/TUS.png
28,,TTN,Absolute Flight Services,TITANIUM,https://www.flightaware.com/images/airline_logos/180px/TTN.png
29,GB,ABX,ABX Air,ABEX,https://www.flightaware.com/images/airline_logos/180px/ABX.png
30,,ACD,Academy Airlines,ACADEMY,https://www.flightaware.com/images/airline_logos/180px/ACD.png
31,,CFM,ACEF,ACEF,https://www.flightaware.com/images/airline_logos/180px/CFM.png
32,,ARO,Acero Taxi,ACERO,https://www.flightaware.com/images/airline_logos/180px/ARO.png
33,,BVR,ACM Air Charter,BAVARIAN,https://www.flightaware.com/images/airline_logos/180px/BVR.png
34,,BJT,ACM Aviation,BAY JET,https://www.flightaware.com/images/airline_logos/180px/BJT.png
35,,CRV,Acropolis Aviation,ACROPOLIS,https://www.flightaware.com/images/airline_logos/180px/CRV.png
36,,AXQ,Action Airlines (Action Air Charter),ACTION AIR,https://www.flightaware.com/images/airline_logos/180px/AXQ.png
37,,AVR,Active Aero Charter, Inc.,https://www.flightaware.com/images/airline_logos/180px/AVR.png
38,,ADC,AD Astra Executive Charter,AD ASTRA,https://www.flightaware.com/images/airline_logos/180px/ADC.png
39,,VUE,AD Aviation,FLIGHTVUE,https://www.flightaware.com/images/airline_logos/180px/VUE.png
40,,DSC,Addis Air Cargo Services,ADDIS CARGO,https://www.flightaware.com/images/airline_logos/180px/DSC.png
41,,ADF,Ade, Aviación Deportiva,https://www.flightaware.com/images/airline_logos/180px/ADF.png
42,,TEC,ADI Shuttle Group,TECHJET,https://www.flightaware.com/images/airline_logos/180px/TEC.png
43,,SWH,Adler Aviation,SHOCKWAVE,https://www.flightaware.com/images/airline_logos/180px/SWH.png
44,,DRO,Adro Servicios Aereos,ADRO SERVICIOS,https://www.flightaware.com/images/airline_logos/180px/DRO.png
45,,AXX,Advance Air Luftfahrtgesellschaft,SKY SHUTTLE,https://www.flightaware.com/images/airline_logos/180px/AXX.png
46,,AAX,Advance Aviation,ADVANCE AVIATION,https://www.flightaware.com/images/airline_logos/180px/AAX.png
47,,XTJ,Advance Aviation Services,,https://www.flightaware.com/images/airline_logos/180px/XTJ.png
48,AN,WSN,Advanced Air,WINGSPAN,https://www.flightaware.com/images/airline_logos/180px/WSN.png
49,,ADD,Advanced Air Co.,,https://www.flightaware.com/images/airline_logos/180px/ADD.png
50,,ADV,Advanced Flight Training,ADVANCED,https://www.flightaware.com/images/airline_logos/180px/ADV.png
51,,DVN,Adventia,,https://www.flightaware.com/images/airline_logos/180px/DVN.png
52,,EBS,AEG Aviation Services,,https://www.flightaware.com/images/airline_logos/180px/EBS.png
53,A3,AEE,Aegean Airlines,AEGEAN,https://www.flightaware.com/images/airline_logos/180px/AEE.png
54,,ALS,Aeralp,AERALP,https://www.flightaware.com/images/airline_logos/180px/ALS.png
55,,AEF,Aerea,,https://www.flightaware.com/images/airline_logos/180px/AEF.png
56,,DRD,Aereo Dorado,AEREO DORADO,https://www.flightaware.com/images/airline_logos/180px/DRD.png
57,,FUT,Aereo Futuro,AEREO FUTURO,https://www.flightaware.com/images/airline_logos/180px/FUT.png
58,,MMG,Aereo Ruta Maya,RUTA MAYA,https://www.flightaware.com/images/airline_logos/180px/MMG.png
59,,AGI,Aereo Transportes Los Angeles de America,ANGELES AMERICA,https://www.flightaware.com/images/airline_logos/180px/AGI.png
60,,WWG,Aereo WWG,AERO-W,https://www.flightaware.com/images/airline_logos/180px/WWG.png
61,,AKR,Aero Clinker,AERO CLINKER,https://www.flightaware.com/images/airline_logos/180px/AKR.png
62,,RRB,Aero Club de Castellon,,https://www.flightaware.com/images/airline_logos/180px/RRB.png
63,,ARP,Aero Corporate,IVORYCORP,https://www.flightaware.com/images/airline_logos/180px/ARP.png
64,,EPU,Aero Elite Acapulco,ELITACAPULCO,https://www.flightaware.com/images/airline_logos/180px/EPU.png
65,,XPN,Aero Express,,https://www.flightaware.com/images/airline_logos/180px/XPN.png
66,,AJP,Aero Jets Corporativos,AEROJETS,https://www.flightaware.com/images/airline_logos/180px/AJP.png
67,VF,TKJ,AJet,ANATOLIAN,https://www.flightaware.com/images/airline_logos/180px/TKJ.png
68,,OWN,Aero Owen,AERO OWEN,https://www.flightaware.com/images/airline_logos/180px/OWN.png
69,,GHM,Aero Service Bolivia,,https://www.flightaware.com/images/airline_logos/180px/GHM.png
70,,GLM,Aero Services Mali,GLOBAL MALI,https://www.flightaware.com/images/airline_logos/180px/GLM.png
71,,GUE,Aero Servicio Guerrero,AERO GUERRERO,https://www.flightaware.com/images/airline_logos/180px/GUE.png
72,,ASR,Aero Sotravia,SOTRAVIA,https://www.flightaware.com/images/airline_logos/180px/ASR.png
73,,ABA,Aero-Beta,AEROBETA,https://www.flightaware.com/images/airline_logos/180px/ABA.png
74,DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,https://www.flightaware.com/images/airline_logos/180px/UCR.png
75,,EAP,Aero-Pyrenees,AERO-PYRENEES,https://www.flightaware.com/images/airline_logos/180px/EAP.png
76,,AJH,Aeroaljarafe,ALJARAFE,https://www.flightaware.com/images/airline_logos/180px/AJH.png
77,,AOB,Aerocaribe Coro,CARIBE CORO,https://www.flightaware.com/images/airline_logos/180px/AOB.png
78,,ACR,Aerocenter, Escuela de Formación de Pilotos Privados de Avión,https://www.flightaware.com/images/airline_logos/180px/ACR.png
79,,BSO,Aeroclub Barcelona-Sabadell,,https://www.flightaware.com/images/airline_logos/180px/BSO.png
80,,NVA,Aeroclub de Albacete,,https://www.flightaware.com/images/airline_logos/180px/NVA.png
81,,LUE,Aeroclub de Alicante,,https://www.flightaware.com/images/airline_logos/180px/LUE.png
82,,MLL,Aeroclub de Mallorca,MALLORCA,https://www.flightaware.com/images/airline_logos/180px/MLL.png
83,,AVX,Aeroclub de Vitoria,,https://www.flightaware.com/images/airline_logos/180px/AVX.png
84,,CTD,Aerocorporativos,AEROCORPORATIVOS,https://www.flightaware.com/images/airline_logos/180px/CTD.png
85,,RRO,Aerocredo,,https://www.flightaware.com/images/airline_logos/180px/RRO.png
86,,DVI,Aerodavinci,AERO DAVINCI,https://www.flightaware.com/images/airline_logos/180px/DVI.png
87,,FAQ,Aerofaq,,https://www.flightaware.com/images/airline_logos/180px/FAQ.png
88,SU,AFL,Aeroflot,AEROFLOT,https://www.flightaware.com/images/airline_logos/180px/AFL.png
89,P3,PLS,Aeroflot-Plus,AEROPLUS,https://www.flightaware.com/images/airline_logos/180px/PLS.png
90,,ARH,Aerohelicopteros,AEROHELCA,https://www.flightaware.com/images/airline_logos/180px/ARH.png
91,,BJU,AeroJet,JET EXPRESS,https://www.flightaware.com/images/airline_logos/180px/BJU.png
92,,ARJ,Aerojet de Costa Rica, S.A.,https://www.flightaware.com/images/airline_logos/180px/ARJ.png
93,,LIN,Aerolimousine,AEROLIMOUSINE,https://www.flightaware.com/images/airline_logos/180px/LIN.png
94,,PCP,Aerolínea Principal Chile,PRINCIPAL,https://www.flightaware.com/images/airline_logos/180px/PCP.png
95,,ALT,Aerolíneas Centrales,AERLINEAS CENTRALES,https://www.flightaware.com/images/airline_logos/180px/ALT.png
96,,AHL,Aerolíneas Hidalgo,HIDALGO,https://www.flightaware.com/images/airline_logos/180px/AHL.png
97,,APR,Aerolíneas Primordiales,AEROPERLAS,https://www.flightaware.com/images/airline_logos/180px/APR.png
98,,LDL,Aerologic,,https://www.flightaware.com/images/airline_logos/180px/LDL.png
99,,VSC,Aeronautic de Los Pirineos,,https://www.flightaware.com/images/airline_logos/180px/VSC.png
100,,PSE,Aeroservicio Sipse,SIPSE,https://www.flightaware.com/images/airline_logos/180px/PSE.png
101,,PSL,Aeroservicios Corporativos De San Luis,CORSAN,https://www.flightaware.com/images/airline_logos/180px/PSL.png
102,,EAE,Aeroservicios Ecuatorianos,AECA,https://www.flightaware.com/images/airline_logos/180px/EAE.png
103,,AES,Aerosur Paraguay,AEROPARAGUAY,https://www.flightaware.com/images/airline_logos/180px/AES.png
104,,BTS,Aerotaxis Albatros,AEROLINEAS ALBATROS,https://www.flightaware.com/images/airline_logos/180px/BTS.png
105,,PRI,Aerotransportes Privados,AEROPRIV,https://www.flightaware.com/images/airline_logos/180px/PRI.png
106,,PVA,Aerotransportes Privados,TRANSPRIVADO,https://www.flightaware.com/images/airline_logos/180px/PVA.png
107,,VMX,Aeroventas de Mexico,VENTA,https://www.flightaware.com/images/airline_logos/180px/VMX.png
108,,ACB,African Cargo Services,AFRICARGO,https://www.flightaware.com/images/airline_logos/180px/ACB.png
109,,AAP,Arabasco Air Services,ARABASCO,https://www.flightaware.com/images/airline_logos/180px/AAP.png
110,KJ,AAZ,Asian Air,,https://www.flightaware.com/images/airline_logos/180px/AAZ.png
111,,ABT,Ambeo,AMBITION,https://www.flightaware.com/images/airline_logos/180px/ABT.png
112,,ACE,Air Charter Express,,https://www.flightaware.com/images/airline_logos/180px/ACE.png
113,YE,ACQ,Aryan Cargo Express,,https://www.flightaware.com/images/airline_logos/180px/ACQ.png
114,,ACS,Aircraft Sales and Services,AIRCRAFT SALES,https://www.flightaware.com/images/airline_logos/180px/ACS.png
115,,ADT,Arrendaminetos y Transportes Turisticos,ARRENDA-TRANS,https://www.flightaware.com/images/airline_logos/180px/ADT.png
116,,ADZ,Avio Delta,,https://www.flightaware.com/images/airline_logos/180px/ADZ.png
117,,AFM,AEROSPEED FORMATION ET MAINTENANCE,EPIC AIR,https://www.flightaware.com/images/airline_logos/180px/AFM.png
118,QH,FLA,Air Florida,PALM,https://www.flightaware.com/images/airline_logos/180px/FLA.png
119,3O,MAC,Air Arabia Maroc,ARABIA MAROC,https://www.flightaware.com/images/airline_logos/180px/MAC.png
120,,MRY,Air Marine,AIR MARINE,https://www.flightaware.com/images/airline_logos/180px/MRY.png
121,,PNK,Air Pink,AIRPINK,https://www.flightaware.com/images/airline_logos/180px/PNK.png
122,,PXG,Aitheras Aviation Group,,https://www.flightaware.com/images/airline_logos/180px/PXG.png
123,,AFN,African International Airlines,SIMBA,https://www.flightaware.com/images/airline_logos/180px/AFN.png
124,HD,ADO,AIRDO,AIR DO,https://www.flightaware.com/images/airline_logos/180px/ADO.png
125,,ACC,Airspeed Charter,,https://www.flightaware.com/images/airline_logos/180px/ACC.png
126,,PNX,AIS Airlines,SPINNER,https://www.flightaware.com/images/airline_logos/180px/PNX.png
127,,AVD,Álamo Aviación, S.L.,https://www.flightaware.com/images/airline_logos/180px/AVD.png
128,,FSY,Algonquin Airlink,FROSTY,https://www.flightaware.com/images/airline_logos/180px/FSY.png
129,,TTX,Alliance Air Charters,TWISTER,https://www.flightaware.com/images/airline_logos/180px/TTX.png
130,UJ,LMU,AlMasria Universal Airlines,ALMASRIA,https://www.flightaware.com/images/airline_logos/180px/LMU.png
131,,ALN,Alpha Jet, S.R.O.,https://www.flightaware.com/images/airline_logos/180px/ALN.png
132,,APN,Alpine Airlines,AIR ALPES,https://www.flightaware.com/images/airline_logos/180px/APN.png
133,,BAH,The Amiri Flight,BAHRAIN,https://www.flightaware.com/images/airline_logos/180px/BAH.png
134,A2,AWG,Animawings,ANIMA WINGS,https://www.flightaware.com/images/airline_logos/180px/AWG.png
135,,TLB,Atlantique Air Assistance,TRIPLE-A,https://www.flightaware.com/images/airline_logos/180px/TLB.png
136,,UJX,Atlas Ukraine Airlines,ATLAS UKRAINE,https://www.flightaware.com/images/airline_logos/180px/UJX.png
137,,AGM,Aviation West Charters,ANGEL MED,https://www.flightaware.com/images/airline_logos/180px/AGM.png
138,X9,NVD,Avion Express,NORDVIND,https://www.flightaware.com/images/airline_logos/180px/NVD.png
139,,NGF,Air Charity Network,ANGEL FLIGHT,https://www.flightaware.com/images/airline_logos/180px/NGF.png
140,,WFT,Aircharters Worldwide,WORLD FLIGHT,https://www.flightaware.com/images/airline_logos/180px/WFT.png
141,JU,ASL,Air Serbia,AIR SERBIA,https://www.flightaware.com/images/airline_logos/180px/ASL.png
142,QH,LYN,Air Kyrgyzstan,ALTYN AVIA,https://www.flightaware.com/images/airline_logos/180px/LYN.png
143,XK,CCM,Air Corsica,CORSICA,https://www.flightaware.com/images/airline_logos/180px/CCM.png
144,,AHS,AHS Air International,HIGH SKY,https://www.flightaware.com/images/airline_logos/180px/AHS.png
145,,ROO,Aero Roa,AERO ROA,https://www.flightaware.com/images/airline_logos/180px/ROO.png
146,,AWF,Aeroforward,,https://www.flightaware.com/images/airline_logos/180px/AWF.png
147,,SUP,Aeronautical Charters,SUN SPEED,https://www.flightaware.com/images/airline_logos/180px/SUP.png
148,,PSO,Aerotaxis Pegaso,AEROPEGASO,https://www.flightaware.com/images/airline_logos/180px/PSO.png
149,EI,EIN,Aer Lingus,SHAMROCK,https://www.flightaware.com/images/airline_logos/180px/EIN.png
150,EG,EUK,Aer Lingus UK,GREEN FLIGHT,https://www.flightaware.com/images/airline_logos/180px/EUK.png
151,,VLB,Air Volta,VOLTA,https://www.flightaware.com/images/airline_logos/180px/VLB.png
152,,FCJ,AirSprint US,FRACJET,https://www.flightaware.com/images/airline_logos/180px/FCJ.png
153,,TEW,Airteam Charter,TEAMWORK,https://www.flightaware.com/images/airline_logos/180px/TEW.png
154,,STT,Alpha Star Charter,STAR CHARTER,https://www.flightaware.com/images/airline_logos/180px/STT.png
155,,LBZ,Angkasa Super Service,,https://www.flightaware.com/images/airline_logos/180px/LBZ.png
156,,HEZ,Arrow Aviation,ARROW,https://www.flightaware.com/images/airline_logos/180px/HEZ.png
157,,UAH,Air Experience Flight, Cranwell,https://www.flightaware.com/images/airline_logos/180px/UAH.png
158,,RVQ,Aero Jet International,REVA AIR,https://www.flightaware.com/images/airline_logos/180px/RVQ.png
159,,ASK,Aerosky,MULTISKY,https://www.flightaware.com/images/airline_logos/180px/ASK.png
160,,AEH,Aero4m,AEROCUTTER,https://www.flightaware.com/images/airline_logos/180px/AEH.png
161,,ERO,Aeroecom,AEROECOM,https://www.flightaware.com/images/airline_logos/180px/ERO.png
162,A8,XAU,Aerolink Uganda,PEARL,https://www.flightaware.com/images/airline_logos/180px/XAU.png
163,,NKY,Aeromonkey,AEROMON,https://www.flightaware.com/images/airline_logos/180px/NKY.png
164,,AWP,Aeroworld Pakistan,,https://www.flightaware.com/images/airline_logos/180px/AWP.png
165,,AGA,AG Air,GEOLINE,https://www.flightaware.com/images/airline_logos/180px/AGA.png
166,,ABZ,Air Ambulance Services,ISLAND LIFEFLIGHT,https://www.flightaware.com/images/airline_logos/180px/ABZ.png
167,RV,ROU,Air Canada Rouge,ROUGE,https://www.flightaware.com/images/airline_logos/180px/ROU.png
168,,CNM,Air China Inner Mongolia,MENGYUAN,https://www.flightaware.com/images/airline_logos/180px/CNM.png
169,,VRE,Air Côte d'Ivoire,COTE DIVORIE,https://www.flightaware.com/images/airline_logos/180px/VRE.png
170,,AWL,Air Walser,,https://www.flightaware.com/images/airline_logos/180px/AWL.png
171,,AXY,Air X Charter,LEGEND,https://www.flightaware.com/images/airline_logos/180px/AXY.png
172,,OES,ART Aviation,ART AUSTRIA,https://www.flightaware.com/images/airline_logos/180px/OES.png
173,,ASF,Austrian Air Force,AUSTRIAN AIRFORCE,https://www.flightaware.com/images/airline_logos/180px/ASF.png
174,,AVG,Aviation Legacy,AVILEF,https://www.flightaware.com/images/airline_logos/180px/AVG.png
175,7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,https://www.flightaware.com/images/airline_logos/180px/AZY.png
176,,SII,Aero Servicios Ejecutivos Internacionales,ASEISA,https://www.flightaware.com/images/airline_logos/180px/SII.png
177,,BZS,Aero Biniza,BINIZA,https://www.flightaware.com/images/airline_logos/180px/BZS.png
178,,ABM,Aero Albatros,ALBATROS ESPANA,https://www.flightaware.com/images/airline_logos/180px/ABM.png
179,ZI,AAF,Aigle Azur,AIGLE AZUR,https://www.flightaware.com/images/airline_logos/180px/AAF.png
180,,AAM,Aim Air,,https://www.flightaware.com/images/airline_logos/180px/AAM.png
181,,AAO,Atlantis Airlines (USA),ATLANTIS AIR,https://www.flightaware.com/images/airline_logos/180px/AAO.png
182,4K,AAS,Askari Aviation,AL-ASS,https://www.flightaware.com/images/airline_logos/180px/AAS.png
183,,AAU,Australia Asia Airlines,AUSTASIA,https://www.flightaware.com/images/airline_logos/180px/AAU.png
184,,AAV,Astro Air International,ASTRO-PHIL,https://www.flightaware.com/images/airline_logos/180px/AAV.png
185,8U,AAW,Afriqiyah Airways,AFRIQIYAH,https://www.flightaware.com/images/airline_logos/180px/AAW.png
186,,BRL,Air Brasd'or,BRASD'OR,https://www.flightaware.com/images/airline_logos/180px/BRL.png
187,,AAG,Atlantic Flight Training,ATLANTIC,https://www.flightaware.com/images/airline_logos/180px/AAG.png
188,KI,AAG,Air Atlantique,ATLANTIC,https://www.flightaware.com/images/airline_logos/180px/AAG.png
189,,AHN,Air Hungaria,AIR HUNGARIA,https://www.flightaware.com/images/airline_logos/180px/AHN.png
190,LD,AHK,Air Hong Kong,AIR HONG KONG,https://www.flightaware.com/images/airline_logos/180px/AHK.png
191,,AHS,Air Viggi San Raffaele,AIRSAR,https://www.flightaware.com/images/airline_logos/180px/AHS.png
192,,AAI,Air Aurora,BOREALIS,https://www.flightaware.com/images/airline_logos/180px/AAI.png
193,,ACU,Air Cargo Transportation System,AFRISPIRIT,https://www.flightaware.com/images/airline_logos/180px/ACU.png
194,,ACV,Air Charter Service,,https://www.flightaware.com/images/airline_logos/180px/ACV.png
195,UX,AEA,Air Europa,EUROPA,https://www.flightaware.com/images/airline_logos/180px/AEA.png
196,,AEQ,Air Express,LUNA,https://www.flightaware.com/images/airline_logos/180px/AEQ.png
197,IG,AEY,Air Italy,AIR ITALY,https://www.flightaware.com/images/airline_logos/180px/AEY.png
198,,ASX,Air Special,AIRSPEC,https://www.flightaware.com/images/airline_logos/180px/ASX.png
199,NX,AMU,Air Macau,AIR MACAO,https://www.flightaware.com/images/airline_logos/180px/AMU.png
200,6A,AMW,Armenia Airways,ARMENIA,https://www.flightaware.com/images/airline_logos/180px/AMW.png
201,HM,SEY,Air Seychelles,SEYCHELLES,https://www.flightaware.com/images/airline_logos/180px/SEY.png
202,,BRF,Air Bravo,AIR BRAVO,https://www.flightaware.com/images/airline_logos/180px/BRF.png
203,AF,AFR,Air France,AIRFRANS,https://www.flightaware.com/images/airline_logos/180px/AFR.png
204,,ACG,Air Partner,AIR PARTNER,https://www.flightaware.com/images/airline_logos/180px/ACG.png
205,SB,ACI,Air Caledonie International,AIRCALIN,https://www.flightaware.com/images/airline_logos/180px/ACI.png
206,,VSG,AirClass Airways,VISIG,https://www.flightaware.com/images/airline_logos/180px/VSG.png
207,EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,https://www.flightaware.com/images/airline_logos/180px/AKX.png
208,,ALN,Air Lincoln,CHICAGO LINCOLN,https://www.flightaware.com/images/airline_logos/180px/ALN.png
209,,ACM,Air Caledonia,WEST CAL,https://www.flightaware.com/images/airline_logos/180px/ACM.png
210,ED,AXE,AirExplore,GALILEO,https://www.flightaware.com/images/airline_logos/180px/AXE.png
211,,AGM,Air Guam,AIR GUAM,https://www.flightaware.com/images/airline_logos/180px/AGM.png
212,ZW,AWI,Air Wisconsin,WISCONSIN,https://www.flightaware.com/images/airline_logos/180px/AWI.png
213,,ALU,Air Luxor STP,LUXORJET,https://www.flightaware.com/images/airline_logos/180px/ALU.png
214,,RSI,Air Sunshine,AIR SUNSHINE,https://www.flightaware.com/images/airline_logos/180px/RSI.png
215,9T,RUN,Air ACT,CARGO TURK,https://www.flightaware.com/images/airline_logos/180px/RUN.png
216,,AFV,Air Afrique Vacancies,AFRIQUE VACANCE,https://www.flightaware.com/images/airline_logos/180px/AFV.png
217,ZB,ABN,Air Albania,AIR ALBANIA,https://www.flightaware.com/images/airline_logos/180px/ABN.png
218,BX,ABL,Air Busan,AIR BUSAN,https://www.flightaware.com/images/airline_logos/180px/ABL.png
219,,ACH,Air Cargo Plus,AIR PLUS,https://www.flightaware.com/images/airline_logos/180px/ACH.png
220,,AAT,Air Central Asia,,https://www.flightaware.com/images/airline_logos/180px/AAT.png
221,LB,LEP,Air Costa,LECOSTA,https://www.flightaware.com/images/airline_logos/180px/LEP.png
222,,AFS,Air Data,,https://www.flightaware.com/images/airline_logos/180px/AFS.png
223,GL,GRL,Air Greenland,GREENLAND,https://www.flightaware.com/images/airline_logos/180px/GRL.png
224,3S,GUY,Air Guyane Express,GREEN BIRD,https://www.flightaware.com/images/airline_logos/180px/GUY.png
225,,AHO,Air Hamburg,AIR HAMBURG,https://www.flightaware.com/images/airline_logos/180px/AHO.png
226,NQ,AJX,Air Japan,AIR JAPAN,https://www.flightaware.com/images/airline_logos/180px/AJX.png
227,ZQ,MNE,Air Montenegro,MOUNT EAGLE,https://www.flightaware.com/images/airline_logos/180px/MNE.png
228,,ANV,Air Nevada,AIR NEVADA,https://www.flightaware.com/images/airline_logos/180px/ANV.png
229,NZ,ANZ,Air New Zealand,NEW ZEALAND,https://www.flightaware.com/images/airline_logos/180px/ANZ.png
230,4N,ANT,Air North Charter - Canada,AIR NORTH,https://www.flightaware.com/images/airline_logos/180px/ANT.png
231,,AOE,Air One Executive,,https://www.flightaware.com/images/airline_logos/180px/AOE.png
232,YP,APZ,Air Premia,AIR PREMIA,https://www.flightaware.com/images/airline_logos/180px/APZ.png
233,,AVZ,Air Valencia,AIR VALENCIA,https://www.flightaware.com/images/airline_logos/180px/AVZ.png
234,,AMO,Air Montreal (Air Holdings Inc.),AIR MONTREAL,https://www.flightaware.com/images/airline_logos/180px/AMO.png
235,,AMR,Air Specialties Corporation,AIR AM,https://www.flightaware.com/images/airline_logos/180px/AMR.png
236,,AMS,Air Muskoka,AIR MUSKOKA,https://www.flightaware.com/images/airline_logos/180px/AMS.png
237,,AOJ,Avcon Jet,ASTERIX,https://www.flightaware.com/images/airline_logos/180px/AOJ.png
238,,AJU,Air Jetsul,AIRJETSUL,https://www.flightaware.com/images/airline_logos/180px/AJU.png
239,,AKA,Air Korea Co. Ltd.,,https://www.flightaware.com/images/airline_logos/180px/AKA.png
240,ZX,ABL,Air BC,AIRCOACH,https://www.flightaware.com/images/airline_logos/180px/ABL.png
241,,ABN,Air Fret Senegal,,https://www.flightaware.com/images/airline_logos/180px/ABN.png
242,,LJA,Air Jamahiriya Company,AIR JAMAHIRIYA,https://www.flightaware.com/images/airline_logos/180px/LJA.png
243,7T,AGV,Air Glaciers,AIR GLACIERS,https://www.flightaware.com/images/airline_logos/180px/AGV.png
244,,MVM,Air Cargo America,PEGASUS,https://www.flightaware.com/images/airline_logos/180px/MVM.png
245,,AMY,Air Ambar,AIR AMBAR,https://www.flightaware.com/images/airline_logos/180px/AMY.png
246,,AOU,Air Tractor,AIR TRACTOR,https://www.flightaware.com/images/airline_logos/180px/AOU.png
247,,APA,Air Park Aviation Ltd.,CAN-AM,https://www.flightaware.com/images/airline_logos/180px/APA.png
248,,APG,Air People International,AIR PEOPLE,https://www.flightaware.com/images/airline_logos/180px/APG.png
249,NH,ANA,All Nippon Airways,ALL NIPPON,https://www.flightaware.com/images/airline_logos/180px/ANA.png
250,,ANB,Air Navigation And Trading Co. Ltd.,AIR NAV,https://www.flightaware.com/images/airline_logos/180px/ANB.png
251,,NGO,Air-Angol,AIR ANGOL,https://www.flightaware.com/images/airline_logos/180px/NGO.png
252,TZ,TWG,air-taxi Europe,TWINGOOSE,https://www.flightaware.com/images/airline_logos/180px/TWG.png
253,2Q,SNC,Air Cargo Carriers,NIGHT CARGO,https://www.flightaware.com/images/airline_logos/180px/SNC.png
254,,SND,Air Samarkand,ARSAM,https://www.flightaware.com/images/airline_logos/180px/SND.png
255,,SNY,Air Sandy,AIR SANDY,https://www.flightaware.com/images/airline_logos/180px/SNY.png
256,,AII,Air Integra,INTEGRA,https://www.flightaware.com/images/airline_logos/180px/AII.png
257,,BFF,Air Baffin,AIR BAFFIN,https://www.flightaware.com/images/airline_logos/180px/BFF.png
258,,BDM,Air Bandama,BANDAMA,https://www.flightaware.com/images/airline_logos/180px/BDM.png
259,,APV,Air Plan International,AIR PLAN,https://www.flightaware.com/images/airline_logos/180px/APV.png
260,,ARX,Air Xpress, Inc.,https://www.flightaware.com/images/airline_logos/180px/ARX.png
261,,HTT,Air Tchad,HOTEL TANGO,https://www.flightaware.com/images/airline_logos/180px/HTT.png
262,,ARZ,Air Resorts,AIR RESORTS,https://www.flightaware.com/images/airline_logos/180px/ARZ.png
263,,ASB,Air-Spray 1967 Ltd.,AIR SPRAY,https://www.flightaware.com/images/airline_logos/180px/ASB.png
264,,ASC,Air Star Corporation,AIR STAR,https://www.flightaware.com/images/airline_logos/180px/ASC.png
265,4D,ASD,Air Sinai,AIR SINAI,https://www.flightaware.com/images/airline_logos/180px/ASD.png
266,,ARC,Air Routing International Corp.,,https://www.flightaware.com/images/airline_logos/180px/ARC.png
267,QN,ARR,Air Armenia,AIR ARMENIA,https://www.flightaware.com/images/airline_logos/180px/ARR.png
268,AI,AIC,Air India Limited,AIRINDIA,https://www.flightaware.com/images/airline_logos/180px/AIC.png
269,,AIG,Air Inter Gabon,,https://www.flightaware.com/images/airline_logos/180px/AIG.png
