id,IATA,ICAO,Airline,Callsign,wikimedia_logo_url
1954,D0,DHK,DHL Air Limited,WORLD EXPRESS,https://www.flightaware.com/images/airline_logos/180px/DHK.png
1955,,DHV,DHL Aviation,WORLDSTAR,https://www.flightaware.com/images/airline_logos/180px/DHV.png
1956,ES,DHX,DHL International,DILMUN,https://www.flightaware.com/images/airline_logos/180px/DHX.png
1957,L3,JOS,DHL de Guatemala,,https://www.flightaware.com/images/airline_logos/180px/JOS.png
1958,,RSK,DSWA,REDSKIN,https://www.flightaware.com/images/airline_logos/180px/RSK.png
1959,D3,DAO,Daallo Airlines,DALO AIRLINES,https://www.flightaware.com/images/airline_logos/180px/DAO.png
1960,N2,DAG,Dagestan Airlines,DAGAL,https://www.flightaware.com/images/airline_logos/180px/DAG.png
1961,,DHA,Dahla Airlines,,https://www.flightaware.com/images/airline_logos/180px/DHA.png
1962,CA,CCD,Dalian Airlines,XIANGJIAN,https://www.flightaware.com/images/airline_logos/180px/CCD.png
1963,,DCS,DC Aviation,TWIN STAR,https://www.flightaware.com/images/airline_logos/180px/DCS.png
1964,,DCX,Daimler-Chrysler,DAIMLER,https://www.flightaware.com/images/airline_logos/180px/DCX.png
1965,,DKA,Daka,,https://www.flightaware.com/images/airline_logos/180px/DKA.png
1966,,DLR,Dala Air Services,DALA AIR,https://www.flightaware.com/images/airline_logos/180px/DLR.png
1967,H8,KHB,Dalavia,DALAVIA,https://www.flightaware.com/images/airline_logos/180px/KHB.png
1968,,DXP,Dallas Express Airlines,DALLAS EXPRESS,https://www.flightaware.com/images/airline_logos/180px/DXP.png
1969,,DAS,Damascene Airways,AIRDAM,https://www.flightaware.com/images/airline_logos/180px/DAS.png
1970,,DSA,Danbury Airways,DANBURY AIRWAYS,https://www.flightaware.com/images/airline_logos/180px/DSA.png
1971,,DOP,Dancopter,DANCOPTER,https://www.flightaware.com/images/airline_logos/180px/DOP.png
1972,,DAF,Danish Air Force,DANISH AIRFORCE,https://www.flightaware.com/images/airline_logos/180px/DAF.png
1973,,DAR,Danish Army,DANISH ARMY,https://www.flightaware.com/images/airline_logos/180px/DAR.png
1974,,DNY,Danish Navy,DANISH NAVY,https://www.flightaware.com/images/airline_logos/180px/DNY.png
1975,,DNU,Danu Oro Transportas,DANU,https://www.flightaware.com/images/airline_logos/180px/DNU.png
1976,,DRT,Darta,DARTA,https://www.flightaware.com/images/airline_logos/180px/DRT.png
1977,0D,DWT,Darwin Airline,DARWIN,https://www.flightaware.com/images/airline_logos/180px/DWT.png
1978,,DSQ,Dasab Airlines,DASAB AIR,https://www.flightaware.com/images/airline_logos/180px/DSQ.png
1979,,DSH,Dash Air Charter,DASH CHARTER,https://www.flightaware.com/images/airline_logos/180px/DSH.png
1980,,GOB,Dash Aviation,PILGRIM,https://www.flightaware.com/images/airline_logos/180px/GOB.png
1981,,DGX,Dasnair,DASNA,https://www.flightaware.com/images/airline_logos/180px/DGX.png
1982,,DAB,Dassault Aviation,,https://www.flightaware.com/images/airline_logos/180px/DAB.png
1983,,CVF,Dassault Falcon Jet Corporation,CLOVERLEAF,https://www.flightaware.com/images/airline_logos/180px/CVF.png
1984,,DSO,Dassault Falcon Service,DASSAULT,https://www.flightaware.com/images/airline_logos/180px/DSO.png
1985,,DTN,Data International,DATA AIR,https://www.flightaware.com/images/airline_logos/180px/DTN.png
1986,,XDT,Date Transformation Corp,,https://www.flightaware.com/images/airline_logos/180px/XDT.png
1987,D5,DAU,Dauair,DAUAIR,https://www.flightaware.com/images/airline_logos/180px/DAU.png
1988,,DCO,David Crawshaw Consultants Limited,,https://www.flightaware.com/images/airline_logos/180px/DCO.png
1989,,DWN,Dawn Air,DAWN AIR,https://www.flightaware.com/images/airline_logos/180px/DWN.png
1990,,DJS,DayJet,DAYJET,https://www.flightaware.com/images/airline_logos/180px/DJS.png
1991,,DAY,Daya Aviation,DAYA,https://www.flightaware.com/images/airline_logos/180px/DAY.png
1992,,DHC,De Havilland,DEHAVILLAND,https://www.flightaware.com/images/airline_logos/180px/DHC.png
1993,,IAY,Deadalos Flugtbetriebs,IASON,https://www.flightaware.com/images/airline_logos/180px/IAY.png
1994,,DAA,Decatur Aviation,DECUR,https://www.flightaware.com/images/airline_logos/180px/DAA.png
1995,,DKN,Deccan Charters,DECCAN,https://www.flightaware.com/images/airline_logos/180px/DKN.png
1996,,JDC,Deere and Company,JOHN DEERE,https://www.flightaware.com/images/airline_logos/180px/JDC.png
1997,,DWR,Delaware Skyways,DELAWARE,https://www.flightaware.com/images/airline_logos/180px/DWR.png
